Time, Distance, Velocity, Acceleration, Measurement, Meas_Err, Q_acc
0.100000, 0.005071, 0.101428, 1.016307, 1.023068, 0.100000, 0.030000
0.200000, 0.020470, 0.204807, 1.027701, 1.036511, 0.100000, 0.030000
0.300000, 0.044855, 0.298805, 0.974681, 0.913313, 0.100000, 0.030000
0.400000, 0.078900, 0.392076, 0.948633, 0.914517, 0.100000, 0.030000
0.500000, 0.123884, 0.492526, 0.984851, 1.034265, 0.100000, 0.030000
0.600000, 0.181340, 0.608033, 1.099289, 1.257582, 0.100000, 0.030000
0.700000, 0.244426, 0.701485, 0.985690, 0.827826, 0.100000, 0.030000
0.800000, 0.320528, 0.805310, 1.022511, 1.073761, 0.100000, 0.030000
0.900000, 0.405696, 0.905112, 1.005181, 0.981046, 0.100000, 0.030000
1.000000, 0.490459, 0.949794, 0.607731, 0.054148, 0.100000, 0.030000
1.100000, 0.582410, 0.978952, 0.381893, 0.067316, 0.100000, 0.030000
1.200000, 0.675777, 0.983461, 0.140808, -0.195011, 0.100000, 0.030000
1.300000, 0.772738, 0.986577, 0.062224, -0.047242, 0.100000, 0.030000
1.400000, 0.873115, 1.000207, 0.115349, 0.189350, 0.100000, 0.030000
1.500000, 0.972647, 1.006125, 0.075055, 0.018926, 0.100000, 0.030000
1.600000, 1.074993, 1.020796, 0.126477, 0.198107, 0.100000, 0.030000
1.700000, 1.176662, 1.027939, 0.086962, 0.031920, 0.100000, 0.030000
1.800000, 1.278884, 1.031319, 0.048807, -0.004343, 0.100000, 0.030000
1.900000, 1.380965, 1.029363, -0.000276, -0.068646, 0.100000, 0.030000
2.000000, 1.474933, 0.981979, -0.340227, -0.813769, 0.100000, 0.030000
2.100000, 1.565390, 0.916057, -0.569227, -0.888217, 0.100000, 0.030000
2.200000, 1.647841, 0.825813, -0.808428, -1.141629, 0.100000, 0.030000
2.300000, 1.724570, 0.735405, -0.877097, -0.972751, 0.100000, 0.030000
2.400000, 1.793748, 0.647816, -0.876230, -0.875022, 0.100000, 0.030000
2.500000, 1.852693, 0.552505, -0.931422, -1.008301, 0.100000, 0.030000
2.600000, 1.902344, 0.454384, -0.967164, -1.016952, 0.100000, 0.030000
2.700000, 1.942512, 0.355373, -0.983640, -1.006591, 0.100000, 0.030000
2.799999, 1.973411, 0.258491, -0.972999, -0.958176, 0.100000, 0.030000
2.899999, 1.994991, 0.164336, -0.950419, -0.918965, 0.100000, 0.030000
2.999999, 2.007373, 0.072996, -0.923848, -0.886835, 0.100000, 0.030000
3.099999, 2.019777, 0.031978, -0.555086, -0.041413, 0.100000, 0.030000
3.199999, 2.027498, 0.015021, -0.278328, 0.107189, 0.100000, 0.030000
3.299999, 2.032625, 0.013691, -0.088073, 0.176947, 0.100000, 0.030000
3.399999, 2.033804, 0.006210, -0.078551, -0.065287, 0.100000, 0.030000
3.499999, 2.036338, 0.010533, 0.008876, 0.130658, 0.100000, 0.030000
3.599999, 2.037906, 0.013906, 0.026716, 0.051568, 0.100000, 0.030000
3.699999, 2.038214, 0.010151, -0.019417, -0.083678, 0.100000, 0.030000
3.799999, 2.039113, 0.008109, -0.020140, -0.021148, 0.100000, 0.030000
3.899998, 2.041622, 0.015599, 0.048090, 0.143133, 0.100000, 0.030000
3.999998, 2.042950, 0.017909, 0.030152, 0.005164, 0.100000, 0.030000
4.099998, 2.044951, 0.021241, 0.032425, 0.035592, 0.100000, 0.030000
