Time, Height, Measured, MeasurementError, InitialUncertainty
0.011153, 10.110924, 10.476033, 1.000000, 1.000000
0.025610, 10.435437, 7.948893, 1.000000, 1.000000
0.031276, 9.247241, 8.392406, 1.000000, 1.000000
0.045727, 8.958883, 9.084656, 1.000000, 1.000000
0.057441, 9.132975, 11.708799, 1.000000, 1.000000
0.073890, 10.574788, 10.903007, 1.000000, 1.000000
0.075282, 10.751792, 11.489405, 1.000000, 1.000000
0.082144, 11.183924, 11.466413, 1.000000, 1.000000
0.091196, 11.407995, 11.949473, 1.000000, 1.000000
0.102208, 11.778406, 11.504272, 1.000000, 1.000000
0.115574, 11.760718, 9.810607, 1.000000, 1.000000
0.124916, 10.868058, 11.019683, 1.000000, 1.000000
0.132553, 11.010604, 12.904100, 1.000000, 1.000000
0.149099, 12.099952, 12.543167, 1.000000, 1.000000
0.160046, 12.414425, 14.395494, 1.000000, 1.000000
0.165884, 13.454011, 12.228281, 1.000000, 1.000000
0.177480, 12.937576, 12.894148, 1.000000, 1.000000
0.193010, 13.042940, 14.598367, 1.000000, 1.000000
0.199578, 13.873684, 15.735997, 1.000000, 1.000000
0.213059, 14.912370, 16.175352, 1.000000, 1.000000
0.228648, 15.665977, 14.249690, 1.000000, 1.000000
0.234307, 15.001574, 12.963278, 1.000000, 1.000000
0.245670, 14.069300, 15.319080, 1.000000, 1.000000
0.249728, 14.724909, 13.685205, 1.000000, 1.000000
0.259313, 14.276974, 14.107452, 1.000000, 1.000000
0.265335, 14.236935, 14.088296, 1.000000, 1.000000
0.275005, 14.233689, 14.651934, 1.000000, 1.000000
0.282386, 14.496443, 11.222961, 1.000000, 1.000000
0.296438, 12.960324, 14.091973, 1.000000, 1.000000
0.315366, 13.658628, 13.283735, 1.000000, 1.000000
0.323295, 13.525636, 14.597523, 1.000000, 1.000000
0.331054, 14.114264, 15.628070, 1.000000, 1.000000
0.349901, 14.996688, 14.343817, 1.000000, 1.000000
0.366705, 14.779226, 14.321060, 1.000000, 1.000000
0.383238, 14.654656, 15.170337, 1.000000, 1.000000
0.395272, 14.986879, 14.690096, 1.000000, 1.000000
0.401088, 14.873930, 14.662447, 1.000000, 1.000000
0.407908, 14.809331, 13.984740, 1.000000, 1.000000
0.425065, 14.498505, 14.550144, 1.000000, 1.000000
0.441471, 14.618655, 14.037410, 1.000000, 1.000000
0.453251, 14.394132, 13.080337, 1.000000, 1.000000
0.471623, 13.837608, 10.904612, 1.000000, 1.000000
0.474732, 12.387771, 11.470634, 1.000000, 1.000000
0.486409, 11.990920, 12.240028, 1.000000, 1.000000
0.492019, 12.144655, 10.959666, 1.000000, 1.000000
0.504654, 11.616740, 12.379143, 1.000000, 1.000000
0.511126, 12.030415, 11.646064, 1.000000, 1.000000
0.527740, 11.919723, 13.091001, 1.000000, 1.000000
0.539702, 12.562350, 13.726285, 1.000000, 1.000000
0.557524, 13.226622, 12.133066, 1.000000, 1.000000
0.573938, 12.752887, 13.155420, 1.000000, 1.000000
0.584573, 13.000072, 12.494129, 1.000000, 1.000000
0.596543, 12.797452, 13.420223, 1.000000, 1.000000
0.613296, 13.176952, 13.823320, 1.000000, 1.000000
0.623429, 13.539996, 12.332813, 1.000000, 1.000000
0.632526, 12.971334, 13.006299, 1.000000, 1.000000
0.647571, 13.044801, 15.115167, 1.000000, 1.000000
0.653625, 14.101884, 15.324703, 1.000000, 1.000000
0.669665, 14.769582, 15.338877, 1.000000, 1.000000
0.679737, 15.088287, 14.825416, 1.000000, 1.000000
0.682308, 14.965384, 15.855919, 1.000000, 1.000000
0.690932, 15.438803, 13.901090, 1.000000, 1.000000
0.697841, 14.691973, 14.651280, 1.000000, 1.000000
0.711376, 14.713421, 15.022719, 1.000000, 1.000000
0.722056, 14.899779, 15.520451, 1.000000, 1.000000
0.729374, 15.231195, 14.758441, 1.000000, 1.000000
0.739997, 15.024487, 15.668749, 1.000000, 1.000000
0.745281, 15.360962, 15.410881, 1.000000, 1.000000
0.748661, 15.394952, 16.347826, 1.000000, 1.000000
0.759102, 15.898582, 15.415276, 1.000000, 1.000000
0.766049, 15.674429, 14.847829, 1.000000, 1.000000
0.766753, 15.262876, 15.917467, 1.000000, 1.000000
0.776082, 15.612864, 16.609589, 1.000000, 1.000000
0.788287, 16.139626, 16.330065, 1.000000, 1.000000
0.794649, 16.249069, 17.484875, 1.000000, 1.000000
0.799474, 16.877495, 16.511957, 1.000000, 1.000000
0.814426, 16.725880, 16.808929, 1.000000, 1.000000
0.826054, 16.790119, 16.558966, 1.000000, 1.000000
0.836384, 16.693609, 16.956099, 1.000000, 1.000000
0.852798, 16.852997, 17.303589, 1.000000, 1.000000
0.865553, 17.098337, 15.264557, 1.000000, 1.000000
0.871875, 16.190790, 16.870358, 1.000000, 1.000000
0.876982, 16.537836, 18.169348, 1.000000, 1.000000
0.884399, 17.363684, 16.323174, 1.000000, 1.000000
0.886180, 16.845772, 16.428596, 1.000000, 1.000000
0.895007, 16.648336, 15.456225, 1.000000, 1.000000
0.906587, 16.065750, 17.430300, 1.000000, 1.000000
0.908337, 16.749945, 17.312534, 1.000000, 1.000000
0.920920, 17.044167, 16.842566, 1.000000, 1.000000
0.928463, 16.950373, 15.844776, 1.000000, 1.000000
0.932425, 16.401031, 15.922124, 1.000000, 1.000000
0.948628, 16.174110, 15.340569, 1.000000, 1.000000
0.950441, 15.758581, 14.899948, 1.000000, 1.000000
0.959512, 15.334995, 14.282485, 1.000000, 1.000000
0.964142, 14.811355, 14.773459, 1.000000, 1.000000
0.979446, 14.799549, 14.030620, 1.000000, 1.000000
0.981606, 14.415908, 14.235668, 1.000000, 1.000000
0.989744, 14.328478, 11.879155, 1.000000, 1.000000
0.995589, 13.105348, 15.258395, 1.000000, 1.000000
1.000384, 14.182878, 13.580571, 1.000000, 1.000000
1.014550, 13.883378, 13.430043, 1.000000, 1.000000
1.026956, 13.656542, 13.207765, 1.000000, 1.000000
1.039403, 13.430467, 13.864959, 1.000000, 1.000000
1.048838, 13.645421, 12.979257, 1.000000, 1.000000
1.063314, 13.307126, 11.825457, 1.000000, 1.000000
1.076542, 12.559731, 12.420548, 1.000000, 1.000000
1.088687, 12.482603, 13.227812, 1.000000, 1.000000
1.098035, 12.848422, 11.642901, 1.000000, 1.000000
1.102780, 12.241890, 12.277440, 1.000000, 1.000000
1.121390, 12.242738, 12.309156, 1.000000, 1.000000
1.123797, 12.273509, 11.503250, 1.000000, 1.000000
1.142740, 11.867213, 11.528886, 1.000000, 1.000000
1.147741, 11.691875, 11.399095, 1.000000, 1.000000
1.150844, 11.541529, 13.557149, 1.000000, 1.000000
